variant,component_correlation,delta,n,distribution,effect_size,rejection_rate_mean,rejection_rate_std,indeterminate_rate_mean,indeterminate_rate_std,type1_error_mean,type1_error_std,power_mean,power_std,avg_successful_sims
original,strong,0.25,500,normal,0.0,0.028000000000000004,0.0116619037896906,0.0,0.0,0.028000000000000004,0.0116619037896906,,,100.0
modified,strong,0.25,500,normal,0.0,0.022,0.0132664991614216,0.014000000000000002,0.013564659966250536,0.022,0.0132664991614216,,,100.0
original,independent,0.25,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,independent,0.25,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,moderate,0.25,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,moderate,0.25,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,strong,0.25,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,strong,0.25,500,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,independent,0.0,1000,normal,0.0,0.052000000000000005,0.03655133376499413,0.0,0.0,0.052000000000000005,0.03655133376499413,,,100.0
modified,independent,0.0,1000,normal,0.0,0.034,0.01624807680927192,0.032,0.0116619037896906,0.034,0.01624807680927192,,,100.0
original,moderate,0.0,1000,normal,0.0,0.04,0.00632455532033676,0.0,0.0,0.04,0.00632455532033676,,,100.0
modified,moderate,0.0,1000,normal,0.0,0.028000000000000004,0.003999999999999999,0.024,0.010198039027185569,0.028000000000000004,0.003999999999999999,,,100.0
original,strong,0.0,1000,normal,0.0,0.05600000000000001,0.020591260281974,0.0,0.0,0.05600000000000001,0.020591260281974,,,100.0
modified,strong,0.0,1000,normal,0.0,0.039999999999999994,0.01414213562373095,0.03,0.008944271909999158,0.039999999999999994,0.01414213562373095,,,100.0
original,independent,0.0,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,independent,0.0,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,moderate,0.0,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,moderate,0.0,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,strong,0.0,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,strong,0.0,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,independent,0.1,1000,normal,0.0,0.044,0.01854723699099141,0.0,0.0,0.044,0.01854723699099141,,,100.0
modified,independent,0.1,1000,normal,0.0,0.04,0.02097617696340303,0.026000000000000002,0.013564659966250536,0.04,0.02097617696340303,,,100.0
original,moderate,0.1,1000,normal,0.0,0.048,0.023151673805580454,0.0,0.0,0.048,0.023151673805580454,,,100.0
modified,moderate,0.1,1000,normal,0.0,0.04,0.02,0.016,0.010198039027185569,0.04,0.02,,,100.0
original,strong,0.1,1000,normal,0.0,0.048,0.02785677655436824,0.0,0.0,0.048,0.02785677655436824,,,100.0
modified,strong,0.1,1000,normal,0.0,0.039999999999999994,0.02280350850198276,0.018,0.009797958971132711,0.039999999999999994,0.02280350850198276,,,100.0
original,independent,0.1,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,independent,0.1,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,moderate,0.1,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,moderate,0.1,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,strong,0.1,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,strong,0.1,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,independent,0.25,1000,normal,0.0,0.05600000000000001,0.013564659966250538,0.0,0.0,0.05600000000000001,0.013564659966250538,,,100.0
